date ,volume
"fev 28, 1997",6501
"mar 07, 1997",6440
"mar 14, 1997",6449
"mar 21, 1997",6391
"mar 28, 1997",6409
"abr 04, 1997",6493
"abr 11, 1997",6433
"abr 18, 1997",6412
"abr 25, 1997",6465
"mai 02, 1997",6409
"mai 09, 1997",6430
"mai 16, 1997",6426
"mai 23, 1997",6423
"mai 30, 1997",6439
"jun 06, 1997",6435
"jun 13, 1997",6415
"jun 20, 1997",6334
"jun 27, 1997",6357
"jul 04, 1997",6338
"jul 11, 1997",6351
"jul 18, 1997",6352
"jul 25, 1997",6337
"ago 01, 1997",6360
"ago 08, 1997",6127
"ago 15, 1997",6221
"ago 22, 1997",6387
"ago 29, 1997",6400
"set 05, 1997",6362
"set 12, 1997",6393
"set 19, 1997",6366
"set 26, 1997",6396
"out 03, 1997",6375
"out 10, 1997",6371
"out 17, 1997",6408
"out 24, 1997",6407
"out 31, 1997",6400
"nov 07, 1997",6418
"nov 14, 1997",6385
"nov 21, 1997",6390
"nov 28, 1997",6416
"dez 05, 1997",6448
"dez 12, 1997",6440
"dez 19, 1997",6463
"dez 26, 1997",6462
"jan 02, 1998",6459
"jan 09, 1998",6430
"jan 16, 1998",6376
"jan 23, 1998",6359
"jan 30, 1998",6377
"fev 06, 1998",6412
"fev 13, 1998",6424
"fev 20, 1998",6415
"fev 27, 1998",6368
"mar 06, 1998",6440
"mar 13, 1998",6420
"mar 20, 1998",6336
"mar 27, 1998",6405
"abr 03, 1998",6443
"abr 10, 1998",6407
"abr 17, 1998",6417
"abr 24, 1998",6397
"mai 01, 1998",6422
"mai 08, 1998",6422
"mai 15, 1998",6378
"mai 22, 1998",6368
"mai 29, 1998",6346
"jun 05, 1998",6333
"jun 12, 1998",6372
"jun 19, 1998",6383
"jun 26, 1998",6269
"jul 03, 1998",6311
"jul 10, 1998",6354
"jul 17, 1998",6351
"jul 24, 1998",6354
"jul 31, 1998",6340
"ago 07, 1998",6336
"ago 14, 1998",6319
"ago 21, 1998",6315
"ago 28, 1998",6346
"set 04, 1998",6349
"set 11, 1998",6366
"set 18, 1998",6411
"set 25, 1998",6396
"out 02, 1998",5950
"out 09, 1998",6368
"out 16, 1998",6418
"out 23, 1998",6442
"out 30, 1998",6417
"nov 06, 1998",6398
"nov 13, 1998",6401
"nov 20, 1998",6399
"nov 27, 1998",6401
"dez 04, 1998",6390
"dez 11, 1998",6390
"dez 18, 1998",6449
"dez 25, 1998",6437
"jan 01, 1999",6342
"jan 08, 1999",6393
"jan 15, 1999",6373
"jan 22, 1999",6352
"jan 29, 1999",6363
"fev 05, 1999",6369
"fev 12, 1999",6052
"fev 19, 1999",5899
"fev 26, 1999",5911
"mar 05, 1999",5920
"mar 12, 1999",5895
"mar 19, 1999",5894
"mar 26, 1999",5864
"abr 02, 1999",5879
"abr 09, 1999",5740
"abr 16, 1999",5849
"abr 23, 1999",5707
"abr 30, 1999",5877
"mai 07, 1999",5835
"mai 14, 1999",5804
"mai 21, 1999",5857
"mai 28, 1999",5845
"jun 04, 1999",5864
"jun 11, 1999",5868
"jun 18, 1999",5926
"jun 25, 1999",5884
"jul 02, 1999",5662
"jul 09, 1999",5808
"jul 16, 1999",5952
"jul 23, 1999",5927
"jul 30, 1999",5898
"ago 06, 1999",5925
"ago 13, 1999",5950
"ago 20, 1999",5970
"ago 27, 1999",5994
"set 03, 1999",6014
"set 10, 1999",5917
"set 17, 1999",5692
"set 24, 1999",5973
